"typeS","session_id","session_type_id","person_id","affil_id","year_id","affiliation","name","year"
"Poster",63,22,306,306,1,"Graduate Center/CUNY, Baruch College","Brittany Mercado",2016
"Poster",63,22,305,305,1,"Zicklin School of Business, Baruch College","Stephan Dilchert",2016
"Poster",64,22,332,16,1,"University of South Florida","Maryana Arvan",2016
"Poster",64,22,333,16,1,"University of South Florida","Rachel Dreibelbis",2016
"Poster",64,22,319,16,1,"University of South Florida","Paul Spector",2016
"Poster",67,22,339,339,1,"cut-e Group","Achim Preuss",2016
"Poster",73,22,357,357,1,"Oakland University","Caitlin Demsky",2016
"Poster",73,22,358,358,1,"Portland State Univ","Charlotte Fritz",2016
"Poster",73,22,359,359,1,"'Forest Service - Human Performance Research, Development, and Application","Anne Black",2016
"Poster",73,22,360,360,1,"Oregon Health & Science University","Leslie Hammer",2016
"Poster",74,22,361,159,1,"University of Central Florida","Lindsay Dhanani",2016
"Poster",74,22,287,159,1,"University of Central Florida","Dana Joseph",2016
"Poster",74,22,363,159,1,"University of Central Florida","Matthew LaPalme",2016
"Poster",75,22,361,159,1,"University of Central Florida","Lindsay Dhanani",2016
"Poster",75,22,287,159,1,"University of Central Florida","Dana Joseph",2016
"Poster",127,22,692,448,1,"Massey University","Jarrod Haar",2016
"Poster",127,22,693,693,1,"Rutgers University","Chester Spell",2016
"Poster",127,22,694,694,1,"Santa Clara University","Katerina Bezrukova",2016
"Symposium/Forum",133,2,456,61,1,"Texas A&M University","Murray Barrick",2016
"Symposium/Forum",133,2,731,731,1,"Cornell University","Lisa Dragoni",2016
"Symposium/Forum",133,2,732,161,1,"University of Connecticut","John Mathieu",2016
"Symposium/Forum",133,2,733,731,1,"Cornell University","John Hausknecht",2016
"Symposium/Forum",133,2,734,161,1,"University of Connecticut","Mikhail Wolfson",2016
"Symposium/Forum",133,2,735,731,1,"Cornell University","Huisi Li",2016
"Symposium/Forum",133,2,736,38,1,"Arizona State University","Jeffery LePine",2016
"Symposium/Forum",133,2,737,38,1,"Arizona State University","Margaret Luciano",2016
"Symposium/Forum",133,2,738,161,1,"University of Connecticut","Greg Reilly",2016
"Symposium/Forum",133,2,739,629,1,"Drexel University","Lauren D'Innocenzo",2016
"Symposium/Forum",133,2,740,38,1,"Arizona State University","Daniel Newton",2016
"Symposium/Forum",133,2,741,507,1,"Arizona State Univ","David Waldman",2016
"Symposium/Forum",133,2,742,38,1,"Arizona State University","Ned Wellman",2016
"Poster",146,22,826,826,1,"Universitat Ulm","Klaus Melchers",2016
"Poster",146,22,827,827,1,"Migros-Genossenschafts-Bund","Amadeus Petrig",2016
"Poster",146,22,828,828,1,"Universite de Fribourg","Jurgen Sauer",2016
"Poster",147,22,829,19,1,"Illinois Institute of Technology","Scott Morris",2016
"Poster",147,22,830,19,1,"Illinois Institute of Technology","Frank Shu",2016
"Poster",147,22,831,19,1,"Illinois Institute of Technology","Jordan McDonald",2016
"Poster",147,22,832,19,1,"Illinois Institute of Technology","Daniel Gandara",2016
"Poster",147,22,833,19,1,"Illinois Institute of Technology","Sara Crouch",2016
"Poster",147,22,834,19,1,"Illinois Institute of Technology","Donald Kesterson",2016
"Poster",149,22,837,837,1,"VU University Amsterdam - The Netherlands","Janneke Oostrom",2016
"Poster",149,22,838,618,1,"VU University Amsterdam","Richard Ronay",2016
"Poster",155,22,855,855,1,"University of Phoenix","Aaron Sour",2016
"Poster",155,22,856,855,1,"University of Phoenix","Charletta  Wilson",2016
"Poster",155,22,857,857,1,"LanneM TM, LLC/Walden University","Leslie Miller",2016
"Poster",155,22,858,858,1,"James A. Haley Veterans Hospital/University of Phoenix","Stephanie Hoffman",2016
"Poster",160,22,872,9,1,"University of Minnesota","Martin Yu",2016
"Poster",160,22,241,241,1,"Medtronic","Rena Rasch",2016
"Poster",164,22,301,301,1,"Memorial University of Newfoundland","Heather Clarke",2016
"Poster",167,22,888,865,1,"Ghent University","Wilfried De Corte",2016
"Poster",168,22,889,889,1,"University of Rhode Island","Emilija Djurdjevic",2016
"Poster",168,22,890,166,1,"Colorado State University","Samantha Conroy",2016
"Poster",168,22,891,891,1,"University of Wisconsin Oshkosh","Shannon Rawski",2016
"Poster",168,22,892,115,1,"University of Arkansas","Katherine Sosna",2016
"Community of Interest",169,12,655,161,1,"University of Connecticut","Dev Dalal",2016
"Community of Interest",169,12,894,161,1,"University of Connecticut","Janet Barnes-Farrell",2016
