"title","abstract","typeS","session_id","session_type_id","year"
"Organizational- and Individual-Level Influences on Employee Cyberloafing","Employee cyberloafing continues to threaten organizations, yet the potential impact of organizational interventions aimed at reducing these behaviors remains unexamined. In a diverse sample, we demonstrate the influence of policies and monitoring on employee cyberloafing while also highlighting the stronger influence of boredom, an often overlooked driver of counterproductivity. ","Poster",63,22,2016
"A Meta-Analytic Investigation of Customer Mistreatment, Performance, and CWB","The present meta-analysis investigates the relationships between customer mistreatment of employees and those employees' performance and CWB. Results indicate that employees who generally experience customer mistreatment have poorer task performance (r= -.11) and are more likely to engage in both customer-directed CWB (r= .25) and organization-directed directed CWB (r= .10).","Poster",64,22,2016
"Detecting Who is Going to Cause Problems","An online instrument predicting counterproductive work behaviors is introduced, based on the notion that behavior is best predicted by considering the person, situation, and interaction between both (Mischel & Shoda, 1995). It shows good psychometric properties (Cronbach's alpha between .71 and .90, correlations with interview results between .39 and .77).","Poster",67,22,2016
"Workplace Incivility and Recovery from Work: CSE as a Moderator","USDA Forest Service employees' (N = 699) core self-evaluations (CSE) were examined as moderators of the relationship between coworker incivility and employee recovery from work (psychological detachment and insomnia symptoms). CSE did significantly moderate these associations, such that employees with higher CSE were less negatively affected by coworker incivility.","Poster",73,22,2016
"How Prevalent is Workplace Discrimination? A Meta-Analytic Investigation","This study meta-analytically estimated the prevalence of workplace discrimination and the extent to which this prevalence is affected by conceptual and measurement-related moderators. Results indicate the prevalence of workplace mistreatment is highest among minorities and military samples and when measures do not require respondents to label their experiences as discrimination.","Poster",74,22,2016
"A Meta-Analysis of Abusive Supervision ","This study sought to meta-analyze the relationships between abusive supervision and organizationally relevant outcomes. Results showed that abusive supervision is associated with reduced job attitudes, decreased task and contextual performance, and weakened health. Path analyses revealed that justice mediated the relationship between abusive supervision and job attitudes and behaviors.","Poster",75,22,2016
"Family Faultlines towards Work-Life Balance: A Longitudinal Study","We test a new faultline concept based on group diversity founded on family attributes. Using a longitudinal study of 41 workgroups we find that family faultlines were positively related to changes in work-life balance. The highest positive changes in work-life balance were with strong faultline groups with high justice. ","Poster",127,22,2016
"Managing Human Capital in Dynamic Team Environments","This symposium presents contemporary theory and research concerning the management of human capital in organizations. We illustrate important considerations in terms of leader emergence and replacement, and team compositional effects over time. Collectively, the works illustrate the important and multi-faceted role of time in human resource allocation decisions. ","Symposium/Forum",133,2,2016
"How comparable are face-to-face vs. technology-mediated selection interviews?","In an experiment, we compared telephone and videoconference interviews with face-to-face interviews. Before taking the interview, interviewees had a more positive view of face-to-face interviews but after the interview, this preference disappeared. Furthermore, affective reactions to the different interviews were comparable. Nevertheless, interviewees were rated more positively in face-to-face interviews.","Poster",146,22,2016
"Correction for Multiple Testing in Adverse Impact Analysis","Audits of selection practices often involve separate adverse impact analyses for a large number of jobs or locations, leading to inflated family-wise Type I error rates. A Monte Carlo simulation examines the false positive rates and power of two correction procedures: Bonferroni and Benjamini-Hochberg.","Poster",147,22,2016
"Do clothes make the man or just a sham? ","This study shows that dress style and resume interact such that applicants with a high quality resume are perceived as more hirable when they dress in a nonconforming way, as compared to when they dress in a conforming way. The effect was mediated by perceptions of power.","Poster",149,22,2016
"A Futurist Approach: Identifying Emerging Work Skills","Using the process of Foresight to Insight to Action, experts worked to identify drivers of change and the skills critical to success in the next decade. Six key drivers of change and 10 essential workforce skills emerged. Understanding the skills is critical to organizations, educational institutions, and those seeking employment.","Poster",155,22,2016
"Generational differences in the workplace: Less than meets the eye","The popular press would have us believe that Millennials are substantially different than older generations. However, there is growing evidence that generational differences in the workplace are small. We evaluate the size of generational differences in a variety of work outcomes to determine if generational differences are practically meaningful.","Poster",160,22,2016
"Sexual Harassment Training That Promotes Reporting: An Organizationally Sensible Approach","Most sexual harassment training is approached from a legal-centric standpoint rather than an organizationally sensible one. This discussion paper argues for an organizationally sensible approach to sexual harassment training that promotes reporting and takes into account organizational outcomes other than legal costs.","Poster",164,22,2016
"Pareto-optimal Selection Design: Genuinely Useful in Practice?","We examined whether selection systems, obtained by the recently proposed decision-aid for designing Pareto-optimal (PO) selection systems, also perform well when applied in realistic  conditions. Based on a massive simulation study it is found that these PO systems outperform other selection systems, including the classical unit weighed system designs.","Poster",167,22,2016
"Effects of political climate and Machiavellianism on job pursuit intentions","Using an experimental design across three samples, we find that information signaling an organization is political has a negative effect on job pursuit intentions. Follow-up analyses revealed a sub-dimension of Machiavellianism, amoral manipulation, significantly interacted with politics information to predict job pursuit intentions.","Poster",168,22,2016
"Generational Shifts in the Workplace and the Impending Retirement Tsunami","Community of Interest","Community of Interest",169,12,2016
"Predicting College Performance of American Indians with the SAT","We examined for American Indians a) the predictive and incremental validity of SAT over high school grades, b) the effect of socio-economic status on SAT validity, and c) differential prediction in the use of SAT scores. Results provided substantial evidence of the validity and fairness of SAT for American Indians.","Poster",224,22,2016
"Simulating the Power of Bayesian Estimation in Personnel Selection","This study investigates Bayesian methods offering to the validation of selection instruments. By simulating a population of cognitive abilities and job performances, Frequentist and Bayesian methods are compared via the power of various sample sizes' validity coefficients. Results clearly display the advantage that Bayesian methods offer to personnel selection validation.","Poster",229,22,2016
"Hiring for Adaptability: It Depends on the Situation","This study tested the utility of using situational strength in an assessment context. There was partial support for the idea that those high in adaptability exhibit the most adaptive performance under moderate situational strength. Implications for the use of situational strength and contextualization in selection are discussed.","Poster",232,22,2016
"Accuracy of Cross-Validated R-Squared Estimates with Predictor Selection","This study employed a Monte Carlo design to examine whether sample-based and formula-based estimates of cross-validated R-squared differ in accuracy when predictor selection is performed. Results demonstrated that, with one exception, the modified Burket equation was substantially as accurate as a sample-based estimate of the cross-validated R-squared.","Poster",233,22,2016
"Specific Abilities May Increment Psychometric g for High Ability Populations","Analyses demonstrate that specific ability tests may add incremental prediction to general cognitive ability and the primary cognitive group factors against work-related criteria for high-ability occupations. Specifically, the Cyber Knowledge test predicted occupational performance beyond Psychometric g. These results are consistent with expectations from Spearman's Law of Diminishing Returns (SLODR).","Poster",235,22,2016
"Opening Plenary","Opening Plenary session","Special Events",266,1,2015
"One-size Does NOT Fit All: How Personal Characteristics Shape Engagement","Work engagement is a growing construct of interest to academics and practitioners. However, the individual factors that impact employee engagement levels are relatively unexplored in the literature. The studies in this symposium examine a number of these individual factors that all alter employee engagement.","Symposium/Forum",267,2,2015
"Team Composition: Considering Team Mix for Staffing and Beyond","Community of Interest","Community of Interest",268,12,2015
"Bystanders, Allies, and Advocates: Recognizing ""Others"" in Workplace Crisis Situations","The present symposium examines third-party bystanders in workplace situations. We will present research that highlights the person- and situation-related factors that influence bystanders' perceived responsibility of confronting prejudice, reactions to threats to masculinity, willingness to advocate for women, and intentions to report or intervene in sexual harassment situations.","Symposium/Forum",269,2,2015
"Analytics in Action: Practical Considerations for Working with Data","A panel of corporate, executive, and academic experts will explore themes focused on common considerations and challenges when working with data, including computing logistics, deliverable management, data exploration, and organizational considerations. Participants will walk away with practical tips and tricks about how to better support their teams, stakeholders, and projects.","Panel Discussion",270,6,2015
"Ideal-Point IRT Modeling: Recent Breakthroughs for Non-Cognitive Measurement","Recent research suggests great promise for ideal-point IRT in non-cognitive measurement, and presents exciting questions and unique challenges for scientists and practitioners. This symposium presents recent breakthroughs in this area, addressing how using ideal-point models impacts substantive conclusions, explores less commonly utilized models, and presents cutting-edge methods for improving estimation.","Symposium/Forum",271,2,2015
"Theme Track: Improving the Peer Review Process: Advancing Science and Practice","Breakdowns in the peer review process result in the retraction of published articles, an inability to replicate studies, and research with little application to practice. The goal of this session is to provide authors and reviewers with information and tools they can use to improve the quality of published research.","Special Events",272,1,2015
"Special Event: Dunnette Prize Award Recipient Announced!","The inaugural recipient of the Dunnette Prize will give an invited address with a retrospective of their career and how it led them to win this prestigious award.  The Dunnette Prize is given to honor living individuals whose work has significantly expanded knowledge of the causal significance of individual differences through advanced research, development, and/or application.   ","Special Events",273,1,2015
"The Latest on Emotional Intelligence at Work: Happy 25th Anniversary!","This session will present the latest research on emotional intelligence (EI) in organizations. Issues concerning definitional and measurement aspects will also be discussed. Topics will include the implications of EI for work-related outcomes, the potential dark side of EI, the novel generation of instruments and future challenges of the field.","Panel Discussion",274,6,2015
"Scientist or Leader? Misconceptions, Challenges and New Considerations","Scientists as leaders in organizations remains understudied. This symposium brings together practitioners who do leadership development of science-based organizations with scholars from the Science of Team Science, to discuss solutions experiences they have faced and the need to advance our conceptualizations of a scientific leader of people.","Symposium/Forum",275,2,2015
